ta_id,nfl_teamabbrev,draftkings_teamabbrev,fanduel_teamabbrev,rotogrinders_teamabbrev,fantasypros_teamabbrev
1,ARI,ARI,ARI,ARI,ARI
2,ATL,ATL,ATL,ATL,ATL
3,BAL,BAL,BAL,BAL,BAL
4,BUF,BUF,BUF,BUF,BUF
5,CAR,CAR,CAR,CAR,CAR
6,CHI,CHI,CHI,CHI,CHI
7,CIN,CIN,CIN,CIN,CIN
8,CLE,CLE,CLE,CLE,CLE
9,DAL,DAL,DAL,DAL,DAL
10,DEN,DEN,DEN,DEN,DEN
11,DET,DET,DET,DET,DET
12,GB,GB,GBP,GBP,GB
13,HOU,HOU,HOU,HOU,HOU
14,IND,IND,IND,IND,IND
15,JAX,JAX,JAC,JAC,JAC
16,KC,KC,KCC,KCC,KC
17,LAC,LAC,LAC,LAC,LAC
18,LAR,LAR,LAR,LAR,LAR
19,MIA,MIA,MIA,MIA,MIA
20,MIN,MIN,MIN,MIN,MIN
21,NE,NE,NEP,NEP,NE
22,NO,NO,NOS,NOS,NO
23,NYG,NYG,NYG,NYG,NYG
24,NYJ,NYJ,NYJ,NYJ,NYJ
25,OAK,OAK,OAK,OAK,OAK
26,PHI,PHI,PHI,PHI,PHI
27,PIT,PIT,PIT,PIT,PIT
28,SEA,SEA,SEA,SEA,SEA
29,SF,SF,SFO,SFO,SF
30,TB,TB,TBB,TBB,TB
31,TEN,TEN,TEN,TEN,TEN
32,WAS,WAS,WAS,WAS,WAS
33,LV,LV,LV,LVR,LV
